epoch | loss | train MSE |  valid MSE |  time 
  0   | 11.8712 | 8.7134  | 7.2028  |  0 min 02 sec 
  1   | 9.3496  | 5.2580  | 4.2265  |  0 min 05 sec 
  2   | 7.9313  | 3.3664  | 2.6389  |  0 min 07 sec 
  3   | 6.6036  | 2.8909  | 2.3401  |  0 min 10 sec 
  4   | 5.5088  | 2.8226  | 2.3183  |  0 min 13 sec 
  5   | 4.7034  | 2.6667  | 2.2296  |  0 min 16 sec 
  6   | 3.9455  | 2.4255  | 2.1729  |  0 min 18 sec 
  7   | 3.2546  | 2.2498  | 2.0321  |  0 min 21 sec 
  8   | 2.7342  | 1.9114  | 1.8545  |  0 min 23 sec 
  9   | 2.2726  | 1.6615  | 1.5777  |  0 min 26 sec 
 10   | 1.7536  | 1.3545  | 1.4023  |  0 min 29 sec 
 11   | 1.5266  | 1.2645  | 1.2307  |  0 min 31 sec 
 12   | 1.2756  | 0.9603  | 1.0303  |  0 min 34 sec 
 13   | 1.0390  | 0.6925  | 0.7947  |  0 min 37 sec 
 14   | 0.8764  | 0.5495  | 0.7078  |  0 min 39 sec 
 15   | 0.7896  | 0.5606  | 0.6630  |  0 min 42 sec 
 16   | 0.7885  | 0.4800  | 0.5355  |  0 min 45 sec 
 17   | 0.7647  | 0.4732  | 0.5126  |  0 min 48 sec 
 18   | 0.6903  | 0.3900  | 0.4808  |  0 min 50 sec 
 19   | 0.6340  | 0.3718  | 0.4393  |  0 min 53 sec 
 20   | 0.6306  | 0.3736  | 0.4651  |  0 min 56 sec 
 21   | 0.6389  | 0.3493  | 0.3863  |  0 min 58 sec 
 22   | 0.6340  | 0.3453  | 0.4301  |  1 min 01 sec 
 23   | 0.5928  | 0.3317  | 0.4423  |  1 min 04 sec 
 24   | 0.6310  | 0.3329  | 0.4121  |  1 min 06 sec 
 25   | 0.6328  | 0.3397  | 0.4300  |  1 min 09 sec 
 26   | 0.5970  | 0.3036  | 0.3641  |  1 min 12 sec 
 27   | 0.6056  | 0.3446  | 0.4841  |  1 min 14 sec 
 28   | 0.5840  | 0.3003  | 0.4190  |  1 min 17 sec 
 29   | 0.6058  | 0.2836  | 0.3833  |  1 min 20 sec 
 30   | 0.5253  | 0.3522  | 0.4472  |  1 min 23 sec 
 31   | 0.5589  | 0.3640  | 0.4655  |  1 min 25 sec 
 32   | 0.5740  | 0.3046  | 0.4200  |  1 min 28 sec 
 33   | 0.4789  | 0.2786  | 0.3765  |  1 min 31 sec 
 34   | 0.5077  | 0.2591  | 0.3844  |  1 min 33 sec 
 35   | 0.4740  | 0.2701  | 0.3837  |  1 min 36 sec 
 36   | 0.4822  | 0.2769  | 0.3508  |  1 min 38 sec 
 37   | 0.5244  | 0.2551  | 0.3314  |  1 min 41 sec 
 38   | 0.4742  | 0.2517  | 0.3570  |  1 min 44 sec 
 39   | 0.4984  | 0.2403  | 0.3608  |  1 min 47 sec 
 40   | 0.4677  | 0.2166  | 0.3025  |  1 min 50 sec 
 41   | 0.4887  | 0.2019  | 0.3224  |  1 min 53 sec 
 42   | 0.5137  | 0.2131  | 0.3505  |  1 min 55 sec 
 43   | 0.4801  | 0.2393  | 0.3234  |  1 min 58 sec 
 44   | 0.4516  | 0.2200  | 0.3625  |  2 min 01 sec 
 45   | 0.5082  | 0.2086  | 0.3075  |  2 min 03 sec 
 46   | 0.4428  | 0.2066  | 0.3155  |  2 min 06 sec 
 47   | 0.5009  | 0.1899  | 0.3304  |  2 min 09 sec 
 48   | 0.4275  | 0.2098  | 0.2918  |  2 min 11 sec 
 49   | 0.4477  | 0.2329  | 0.3871  |  2 min 14 sec 
 50   | 0.5103  | 0.2149  | 0.3492  |  2 min 17 sec 
 51   | 0.4206  | 0.1769  | 0.3261  |  2 min 20 sec 
 52   | 0.4138  | 0.1760  | 0.3241  |  2 min 23 sec 
 53   | 0.4257  | 0.2169  | 0.2803  |  2 min 25 sec 
 54   | 0.4492  | 0.1761  | 0.3262  |  2 min 28 sec 
 55   | 0.4896  | 0.1824  | 0.3346  |  2 min 31 sec 
 56   | 0.4260  | 0.1878  | 0.3252  |  2 min 34 sec 
 57   | 0.4491  | 0.1710  | 0.3141  |  2 min 36 sec 
 58   | 0.4078  | 0.1878  | 0.3698  |  2 min 39 sec 
 59   | 0.3615  | 0.1880  | 0.3336  |  2 min 42 sec 
 60   | 0.3944  | 0.1595  | 0.2796  |  2 min 44 sec 
 61   | 0.4792  | 0.1730  | 0.3229  |  2 min 47 sec 
 62   | 0.4258  | 0.1702  | 0.2940  |  2 min 50 sec 
 63   | 0.4401  | 0.1458  | 0.2958  |  2 min 53 sec 
 64   | 0.4013  | 0.1755  | 0.3178  |  2 min 55 sec 
 65   | 0.4270  | 0.1609  | 0.2747  |  2 min 58 sec 
 66   | 0.4300  | 0.1449  | 0.2903  |  3 min 01 sec 
 67   | 0.3844  | 0.1359  | 0.3000  |  3 min 04 sec 
 68   | 0.4232  | 0.1598  | 0.3125  |  3 min 06 sec 
 69   | 0.3991  | 0.1948  | 0.3391  |  3 min 09 sec 
 70   | 0.5035  | 0.1807  | 0.2841  |  3 min 12 sec 
